Gender,Mood,text,description,screenName,,favorited,favoriteCount,replyToSN,created.x,truncated,replyToSID,id.x,replyToUID,statusSource,retweetCount,isRetweet,retweeted,longitude,latitude,statusesCount,followersCount,favoritesCount,friendsCount,url,name,created.y,protected,verified,location,lang,id.y,listedCount,followRequestSent,profileImageUrl
i,-1,Menos halagar y idolatrar a genios. Dame una persona que se supera a si misma.,weeb weeb weeb en tot el que et puguis imaginar bye,BigHitEUexists,12,FALSE,0,NA,2020-04-30 18:01:36,FALSE,NA,1255920249804816384,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,FALSE,FALSE,NA,NA,2404,33,12618,239,NA,munchki,2017-06-16 20:43:45,FALSE,FALSE,"Barcelona, Espanya",NA,875816188009381890,0,FALSE,http://pbs.twimg.com/profile_images/1234800347107012616/0-EaLB9F_normal.jpg
m,0,Entrad a ver al bebéeeeeeeeeeeeeeeeee ♥ https://t.co/YkfgouLYuD,20. ♥♣ BIENVENIDO AL DESASTRE ♠♦       ∆ℓωαуѕ⏃🏳️‍🌈       ig: biichiito23  @626__cand,biichiitx23,13,FALSE,0,NA,2020-04-30 18:01:45,FALSE,NA,1255920289789161475,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",0,FALSE,FALSE,NA,NA,24328,583,44657,448,https://t.co/JcCZgSQqXd,Diana H.,2018-11-20 17:43:41,FALSE,FALSE,"Barcelona, España",NA,1064937335614308352,4,FALSE,http://pbs.twimg.com/profile_images/1222004840227729409/CeBWlhNE_normal.png
i,-1,"""[...] a otrxs se les va la vida delante de una pantalla, dedo arriba, dedo abajo, igual que a otrxs muchxs se les… https://t.co/pfbeU9Oxku",no,BlankitosDMierd,14,FALSE,0,NA,2020-04-30 18:01:15,TRUE,NA,1255920163926532096,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,FALSE,FALSE,NA,NA,30734,241,12451,326,https://t.co/ZfECzO6NTM,u,2012-12-15 10:32:44,FALSE,FALSE,Barcelona,NA,1012929818,9,FALSE,http://pbs.twimg.com/profile_images/1248651914931081219/6Fcv4Y3G_normal.jpg
m,-1,"@jgoraba Perdona, rectifico: al final Illa ha remitido a la guía en cuanto a la duración de la salida: https://t.co/fWQiYSjJ5T","Periodista e intento de grafista. También corro, aunque se me da mejor huir, y lo cuento en 'Blogmaldito'.",blogmaldito,15,FALSE,0,jgoraba,2020-04-30 18:03:42,FALSE,1255912381638721538,1255920779650379776,813872769322676225,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,FALSE,FALSE,NA,NA,51979,6242,67963,832,http://t.co/cMlVhqrnJs,David,2009-01-12 2:52:12,FALSE,FALSE,Barcelona,NA,18888871,168,FALSE,http://pbs.twimg.com/profile_images/1930813098/z_normal.jpg
m,-1,Acabo de salir al balcón y se me ha venido el olor a kebab me cago en la puta😣😭,love yourself ❤️,bravo_javiii,16,FALSE,0,NA,2020-04-30 18:02:27,FALSE,NA,1255920467145306112,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,FALSE,FALSE,NA,NA,2971,73,4645,121,NA,Javiii🔕,2018-11-18 22:27:07,FALSE,FALSE,"Barcelona, Cataluña",NA,1064283889118658560,0,FALSE,http://pbs.twimg.com/profile_images/1249881041558437891/wyGIczG2_normal.jpg
m,0,@noobbet @paucazorla eso en el caso de que la aerolínea con la que tienes ese precioso bono no se vaya a la quiebra… https://t.co/zjFTbufrDg,📍 Barcelona 🌴 🎓 Advertising | Social Media | Digital MK 🇪🇺 Europe(an) | Sweden 🇸🇪 | 📝 ENG/ESP/CAT/SVE,CarlosRivasFdez,17,FALSE,0,noobbet,2020-04-30 18:04:23,TRUE,1255883050208149504,1255920954087297024,2798650742,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,FALSE,FALSE,NA,NA,84152,983,27156,993,https://t.co/3lYW4PHvNZ,Carlos Rivas | #StayHome,2009-07-08 1:05:00,FALSE,FALSE,Made in Barcelona,NA,54746519,64,FALSE,http://pbs.twimg.com/profile_images/1239883950186795010/vsM3tTCd_normal.jpg
i,-1,"Que democracia más consolidada y que nivel crítico e intelectual hay en España, cuándo la gente se irrita profundam… https://t.co/Gd9jyi3DVc","Me gusta definir España, mi pais y a sus ciudadanos con un verso ded",CataloniaisSPA,18,FALSE,0,NA,2020-04-30 18:01:31,TRUE,NA,1255920231001853955,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,FALSE,FALSE,NA,NA,3757,426,3234,520,NA,ESPANYOL 2103 🇪🇸,2018-04-04 18:16:09,FALSE,FALSE,"Barcelona, Spain",NA,981596299937091587,1,FALSE,http://pbs.twimg.com/profile_images/1245721142683471874/dAI_fROv_normal.jpg
i,1,Los amantes de los viajes en tren deberían tener en cuenta a estos trayectos realizados con centenarias locomotoras… https://t.co/5JHwrcfZsf,La experiencia de viajar contada como necesitas. Disfrutar como estilo de vida. Editado por @economiaed_,Cerodosbe,19,FALSE,0,NA,2020-04-30 18:00:47,TRUE,NA,1255920047559790596,NA,"<a href=""https://www.echobox.com"" rel=""nofollow"">Echobox Social</a>",0,FALSE,FALSE,NA,NA,58890,10630,2591,29,https://t.co/pPOcxONLkG,Cerodosbé,2011-09-28 8:59:39,FALSE,TRUE,"Barcelona, España",NA,381414304,462,FALSE,http://pbs.twimg.com/profile_images/950698301065752576/CrEeJRcr_normal.jpg
i,1,"Arroz a la naranja, un plato perfumado y agridulce https://t.co/AUhUMEuoYJ https://t.co/vanADcQiD1",Comunidad de restaurantes de ambito nacional que permite reducir tus facturas de luz y gas. No esperes la sorpresa de tu próxima factura #masterchefenergy,chef_energy,20,FALSE,0,NA,2020-04-30 18:02:34,FALSE,NA,1255920492763987968,NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",0,FALSE,FALSE,NA,NA,2709,422,288,2324,https://t.co/FjBcaJOcNR,MasterChefEnergy,2017-11-28 19:49:48,FALSE,FALSE,"Barcelona, España",NA,935596608644943872,1,FALSE,http://pbs.twimg.com/profile_images/956079063122239488/OxwCg74x_normal.jpg
f,1,"Por fin este sábado podremos salir a hacer deporte, después de llevar más de un mes confinados. Pero debemos ser co… https://t.co/5849GeszMJ","🎓 Fisioterapeuta
Proyecto de osteópata      

📍Barcelona 

📩marinacolomer91@gmail.com",colomer_fisio,21,FALSE,0,NA,2020-04-30 18:02:42,TRUE,NA,1255920529879511040,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",0,FALSE,FALSE,NA,NA,119,43,6,114,https://t.co/cYbcPcSuis,Marina Fisio,2018-11-01 22:44:57,FALSE,FALSE,"Barcelona, España",NA,1058127785850535937,2,FALSE,http://pbs.twimg.com/profile_images/1065312583190745088/tfzrDS-S_normal.jpg
m,-1,1 like y le abro la cabeza a mi profesora de física,"Chaval catalán recurrente consumidor de pantomaca. Puigdemont mi dios, Tirant lo Blanc mi Biblia. También joseo a veces.",Comecojones69_,22,FALSE,1,NA,2020-04-30 18:02:13,FALSE,NA,1255920405589692416,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,FALSE,FALSE,NA,NA,433,38,38547,435,NA,🚦elPicuchillos🚦,2019-11-20 22:01:07,FALSE,FALSE,"Barcelona, España",NA,1197273634366218240,0,FALSE,http://pbs.twimg.com/profile_images/1232804864079679489/u_ys9UHE_normal.jpg
f,0,"Lo de los horarios para salir es para paseos, verdad? Osea a comprar se puede a cualquier hora.....","He aprendido que la vida es dura, pero yo lo soy más! 💪💪💪💪#esclerosismúltiple 
Sigueme en mi blog",criscandybcn,23,FALSE,0,NA,2020-04-30 18:00:41,FALSE,NA,1255920022599467009,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,FALSE,FALSE,NA,NA,1233,218,2815,312,https://t.co/hpwYCJrUB0,Cris #YoMeQuedoEnCasa,2011-07-13 14:18:08,FALSE,FALSE,"Barcelona, España",NA,334686903,4,FALSE,http://pbs.twimg.com/profile_images/1066366624746344448/GmWKElEa_normal.jpg
m,0,"A ver qué yo me entere... Puedo salir con mi mujer a pasear de 6 a 10 o de 20 a 23h, pero no podemos salir con nues… https://t.co/9qSBisbyEj","Atlético de Madrid yo seré tu seguidor, yo contigo hasta morir. #GraciasGodin #GraciasGabi #GraciasTorres #eternocalderon",criskun19,24,FALSE,0,NA,2020-04-30 18:01:38,TRUE,NA,1255920258722017280,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,FALSE,FALSE,NA,NA,925,63,1329,352,NA,Cristhian Morales,2017-07-09 15:23:28,FALSE,FALSE,"Barcelona, España",NA,884070503950032896,0,FALSE,http://pbs.twimg.com/profile_images/1252949276751265794/11HmoJTg_normal.jpg
f,0,@ilhaamzen en la franja horaria de 20:00 a 23:00 te acerco unas,,cvrla__,25,FALSE,1,ilhaamzen,2020-04-30 18:00:19,FALSE,1255919761319436288,1255919926952570880,835499984824983552,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,FALSE,FALSE,NA,NA,48,13,58,17,https://t.co/zN39dqIZxu,carla🦋,2020-04-13 15:17:07,FALSE,FALSE,"Barcelona, España",NA,1249718209030258689,0,FALSE,http://pbs.twimg.com/profile_images/1249718562496929792/xcAoL2_1_normal.jpg
f,0,"@gyaldrea A mi cuando me dio sentia la necesidad de hacer algo a toda velocidad, al no poder hacerlo me comence a r… https://t.co/GJmU9XcGI3","Jugador de WoW desde 2004, juego y casteo la liga de las leyendas para @lalega",Cynox336,26,FALSE,0,gyaldrea,2020-04-30 18:04:02,TRUE,1255834560706883584,1255920861984456704,1044281998070681600,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,FALSE,FALSE,NA,NA,6501,136,2664,231,https://t.co/fewbB2HK7P,Cynox,2012-10-16 14:41:52,FALSE,FALSE,"Barcelona, España",NA,884590129,2,FALSE,http://pbs.twimg.com/profile_images/1251337643356495872/7t3ujVdj_normal.jpg
m,-1,"@Hibai_ Ya, se me está yendo la pinza, ni saliendo a la terraza que arreglo esto.",Music photographer/journalist since 2004. Co-head of @Snapclapclub label. Proud part of @cuarentenafest. Teacher @lci_barcelona. Condition: VG+/NM,Dani_Canto,27,FALSE,0,Hibai_,2020-04-30 18:04:03,FALSE,1255918232151699462,1255920867781103617,14525982,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",0,FALSE,FALSE,NA,NA,35782,3483,46386,1324,https://t.co/bUAcvkS9CW,Dani Cantó,2010-03-30 10:16:57,FALSE,TRUE,"Barcelona, Spain",NA,127823139,74,FALSE,http://pbs.twimg.com/profile_images/1077958288778715138/1Yl3qqRm_normal.jpg
i,0,A qué hora podremos salir a partir del sábado. Que no me aclaro. Twitter haz tu magia.,https://t.co/N4u9ZYS6jD,desertgrup,28,FALSE,2,NA,2020-04-30 18:00:09,FALSE,NA,1255919886355902465,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,FALSE,FALSE,NA,NA,1580,539,1577,291,NA,Desert,2012-09-17 10:38:37,FALSE,FALSE,Barcelona,NA,828799062,18,FALSE,http://pbs.twimg.com/profile_images/1253695067891662849/lYyl4l0E_normal.jpg
m,-1,"@RguezRguezMA Por qué te odio a la vez de querer abrazarte?????? De verdad... eiugh los hombres 

En fin suerte de… https://t.co/mlXhYIf7Rg",modus tollons; soc una idiota amb ganes de plorar... entre altres coses faig filosofia a la ub raval i fagotisme en Twitter,desraulizacion,29,FALSE,0,RguezRguezMA,2020-04-30 18:04:00,TRUE,1255907019866935296,1255920854921330688,1056508914311802880,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,FALSE,FALSE,NA,NA,23095,552,33198,935,NA,ρρρυλιτο καντιαν διβα,2016-07-03 16:06:09,FALSE,FALSE,Lleida / Barcelona ,NA,749635347781455872,1,FALSE,http://pbs.twimg.com/profile_images/1251296423259275264/0UpyHpQY_normal.jpg
f,0,"estos días están en oferta los juegos de steam que pertenece al género ""juegos que le gustan a la laura""",26 🌼 No me siento cómoda con menores de edad siguiéndome 🔞 ☘ Cc: https://t.co/Ll4ZPdOlHG 🌸 AC: @dzw_artsy,dioszawarudo,30,FALSE,0,NA,2020-04-30 18:03:53,FALSE,NA,1255920827507396608,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,FALSE,FALSE,NA,NA,49405,290,35337,274,https://t.co/2EP7xOu5MP,soft and cute chick 🌼,2014-04-01 8:10:15,FALSE,FALSE,"Barcelona, España",NA,2421764131,15,FALSE,http://pbs.twimg.com/profile_images/1243906310896340992/tTkIs1fH_normal.png
m,1,¿Cómo está afectando la crisis del COVID-19 a las campañas de Email Marketing? https://t.co/oflBNvN3wM,Inbound Marketing en @iebschool. Buscando el momento perfecto para cada contenido 🖥️ #Inbound 📩 #EmailMarketing,DomenechMestre,31,FALSE,0,NA,2020-04-30 18:04:21,FALSE,NA,1255920944373215233,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,FALSE,FALSE,NA,NA,156,74,72,251,https://t.co/H5uydC2ifn,Miguel Domenech - Inbound Marketing,2019-10-23 19:10:04,FALSE,FALSE,"Barcelona, España",NA,1187083720165068801,1,FALSE,http://pbs.twimg.com/profile_images/1187716138135887872/GxNAvaI4_normal.jpg
i,1,En @HosteleriaMad piden a @MADRID que vean las #terrazas como un espacio y herramienta de recuperación económica pa… https://t.co/X9HBHrBpJM,#RevistaDigital #Gastronomía | #PublicidadDigital | Visibilidad de #Negocio | #Consultoria #Digital | #SolucionesDigitales | IG: donacroquetabcn / donafoodiebcn,donacomgastro,32,FALSE,0,NA,2020-04-30 18:01:09,TRUE,NA,1255920140341972992,NA,"<a href=""https://metricool.com"" rel=""nofollow"">Metricool</a>",0,FALSE,FALSE,NA,NA,2608,1082,3935,389,NA,Doña Croqueta | Comunicación Digital Gastronomía,2017-01-23 11:22:19,FALSE,FALSE,"Barcelona, Spain",NA,823491043563896832,11,FALSE,http://pbs.twimg.com/profile_images/1248653038987825153/2x5XWVHj_normal.jpg
f,1,"#LinkedInPulse es el blog de esta red social que te ayuda a atraer más clientes y aumentar tus ventas. 
No basta co… https://t.co/55X2O8p7DD","⏺️ Me gusta ayudarte a vender más CON las #RedesSociales gracias al #SocialSelling
⏺️ Consultora y formadora de #MarketingDigital y #SocialMedia
⏺️ #Mentoring",DuroLimia,33,FALSE,0,NA,2020-04-30 18:02:02,TRUE,NA,1255920361004244993,NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",0,FALSE,FALSE,NA,NA,29639,10591,13312,5172,https://t.co/yw0JSRWNk6,Sonia Duro Limia,2012-01-10 17:12:04,FALSE,FALSE,Barcelona,NA,460341225,514,FALSE,http://pbs.twimg.com/profile_images/1226778799116820485/aYNTWV8o_normal.jpg
m,-1,"@Gera88364727 @bayron820 @InvictosSomos Que mbappe gano que? Si monaco esa temporada tenia un equipazo, pasa que a… https://t.co/s46mReLFTr",DOMINICAN🇩🇴/GOD†/21Years/Libra♎/Barça,edconsuflow,34,FALSE,0,Gera88364727,2020-04-30 18:03:59,TRUE,1255907323870162945,1255920853197426696,1230679422086283264,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,FALSE,FALSE,NA,NA,17518,576,3094,980,NA,E D ⚡,2011-09-29 3:58:04,FALSE,FALSE,"Barcelona, España",NA,381896773,1,FALSE,http://pbs.twimg.com/profile_images/1227276158066139138/rwadi1X__normal.jpg
f,0,La Confederación Española de Comercio (CEC @CEC_Comercio  ) recuerda al Ministerio de Comercio que todavía no tiene… https://t.co/1O4rMMV8L5,"Ediciones Sibila es una editorial de revistas técnicas de moda. Editamos 3 revistas de moda profesionales: Prensapiel, PuntoModa y Textil y Moda.",EDICIONESSIBILA,35,FALSE,0,NA,2020-04-30 18:02:24,TRUE,NA,1255920453820047361,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,FALSE,FALSE,NA,NA,20911,1493,1732,1114,https://t.co/ldIZ9rZzeg,PUNTOMODA,2009-12-29 17:17:53,FALSE,FALSE,BARCELONA,NA,100273378,50,FALSE,http://pbs.twimg.com/profile_images/1531233633/LOGOS_essl_normal.jpg
f,0,"SESIÓN INFORMATIVA - Máster en Diseño de espacios: User experience - 07/05/2020, 18h &gt;&gt;&gt; Inscripciones a la sesión:… https://t.co/YPg6ic0Zx7","EINA promueve un diseño funcional, crítico y sostenible para responder a los retos de futuro en los estudios que ofrece: Grado de Diseño y Másters y Postgrados.",EinaBcn,36,FALSE,0,NA,2020-04-30 18:00:45,TRUE,NA,1255920037107568642,NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",0,FALSE,FALSE,NA,NA,3736,5341,1285,810,https://t.co/sU1dt1ROkV,"EINA, Centre Universitari de Disseny i Art de BCN",2012-02-28 11:51:22,FALSE,FALSE,Barcelona,NA,507268011,162,FALSE,http://pbs.twimg.com/profile_images/1255480139539980288/GkoqG0a8_normal.jpg
i,-1,"@Toyota_Esp @ToyotaPrensa apoya a la multinacional de #Cabify que hace competencia desleal al Taxi, se aprovechan d… https://t.co/D2yLbNSyLf","Llevamos 6 años luchando contra las #Apps disruptivas Uber y Cabify #VehiculosPiratas  #TaxienLucha 💪#EliteTaxi
 #UberPopOff  #MejorEnTaxi  🚖🚕 @NTaxi_",Elite_TaxiBcn,37,FALSE,0,Toyota_Esp,2020-04-30 18:00:10,TRUE,NA,1255919892563460096,72887574,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,FALSE,FALSE,NA,NA,18867,9100,25283,4863,https://t.co/aKRtUOiuEV,Elite Taxi Bcn #1Vtc30Taxis,2014-03-16 11:29:31,FALSE,FALSE,Barcelona,NA,2415010228,116,FALSE,http://pbs.twimg.com/profile_images/1245781246233493505/fbOeoSl3_normal.jpg
f,-1,@AnimusLiberES @wachitnai1 @Morganacatalana Ves a la merda. Troll ñordo,"dona, casada, mare, treballadora,lleial, INDEPENDENTISTA d tota la vida, ara republicana, il·lusionada amb el futur https://t.co/bzQJaEc0C3",EmDicMerce,38,FALSE,1,AnimusLiberES,2020-04-30 18:00:48,FALSE,1255904358195171329,1255920051800158210,2724019233,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,FALSE,FALSE,NA,NA,378634,7743,540314,7728,https://t.co/KqJR1PC14o,🎖🎗🎗🎗🎗🎗🎗🎗🎗🎗🎗 *X,2013-09-15 17:38:08,FALSE,FALSE,"Barcelona, CATALUNYA",NA,1868602543,168,FALSE,http://pbs.twimg.com/profile_images/830902759507554304/KtXO71RB_normal.jpg
i,0,El deporte individual y los paseos deberán ser de 6 a 10 h y de 20 a 23 h https://t.co/kefQafyIDn,Todas las noticias de la sección de Política de El Periódico @elperiodico. 📢 Síguenos también en Telegram https://t.co/pD5Nxbz3II,eppolitica_cas,39,FALSE,0,NA,2020-04-30 18:03:46,FALSE,NA,1255920797987864577,NA,"<a href=""http://dogtrack.es"" rel=""nofollow"">DogTrack_Oficial</a>",0,FALSE,FALSE,NA,NA,51551,2325,15,473,https://t.co/fj3OWnxnFH,ElPeriódico Política,2011-11-18 16:17:50,FALSE,FALSE,Barcelona,NA,415640865,93,FALSE,http://pbs.twimg.com/profile_images/875759451344691201/7oHgCmMx_normal.jpg
